index,type,start,duration
259,"e",2335968,536
259,"j",2336768,1036
259,"x",2338549,5607
260,"e",2345737,530
260,"j",2346847,1559
260,"x",2349412,5463
261,"e",2356446,489
261,"j",2357734,592
261,"x",2359350,4675
262,"e",2365609,524
262,"j",2366838,580
262,"x",2368409,4415
263,"e",2374394,569
263,"j",2375669,2083
263,"x",2378737,4853
264,"e",2385170,374
264,"j",2386310,1928
264,"x",2389204,4299
265,"e",2395169,304
265,"j",2396158,675
265,"x",2397853,4673
266,"e",2404026,506
266,"j",2405247,1625
266,"x",2407902,4525
267,"e",2413921,439
267,"j",2415093,732
267,"x",2416830,4290
268,"e",2422668,634
268,"j",2423954,2001
268,"x",2426917,5676
269,"e",2434169,411
269,"j",2435363,739
269,"x",2437125,2949
270,"e",2441635,728
270,"j",2443071,635
270,"x",2444675,4055
271,"e",2450244,636
271,"j",2451575,290
271,"x",2452872,4457
272,"e",2458883,744
272,"j",2460284,490
272,"x",2461808,4396
273,"e",2467708,327
273,"j",2468728,1960
273,"x",2471667,3710
274,"e",2476904,700
274,"j",2478319,447
274,"x",2479827,5475
275,"e",2486835,442
275,"j",2487939,630
275,"x",2489551,3643
276,"e",2494697,277
276,"j",2495716,298
276,"x",2497001,3999
277,"e",2502558,754
277,"j",2504043,670
277,"x",2505703,4966
278,"e",2512229,611
278,"j",2513517,518
278,"x",2515005,4745
279,"e",2524748,563
279,"j",2526130,621
279,"x",2527734,6230
280,"e",2535506,480
280,"j",2536725,923
280,"x",2538599,3462
281,"e",2543691,477
281,"j",2544956,1016
281,"x",2546960,3605
282,"e",2552164,629
282,"j",2553522,909
282,"x",2555407,5123
283,"e",2562022,507
283,"j",2563195,760
283,"x",2564977,2828
284,"e",2569343,443
284,"j",2570498,1885
284,"x",2573354,4050
285,"e",2578975,587
285,"j",2580242,1953
285,"x",2583201,3330
286,"e",2588132,542
286,"j",2589349,1158
286,"x",2591520,3662
287,"e",2596681,627
287,"j",2597983,735
287,"x",2599678,3533
288,"e",2604729,439
288,"j",2605908,4075
288,"x",2610950,3439
289,"e",2615863,549
289,"j",2617117,2027
289,"x",2620121,5746
290,"e",2627470,379
290,"j",2628546,621
290,"x",2630107,3438
291,"e",2635153,530
291,"j",2636378,1674
291,"x",2639032,4495
292,"e",2645170,426
292,"j",2646251,787
292,"x",2648025,3943
293,"e",2653500,462
293,"j",2654667,1883
293,"x",2657511,4338
294,"e",2663343,392
294,"j",2664478,733
294,"x",2666170,3941
295,"e",2671606,705
295,"j",2673083,920
295,"x",2674994,4491
296,"e",2681011,655
296,"j",2682341,744
296,"x",2684051,4430
297,"e",2689982,539
297,"j",2691240,2157
297,"x",2694366,4463
298,"e",2700333,484
298,"j",2701462,2662
298,"x",2705069,3829
299,"e",2710525,344
299,"j",2711543,436
299,"x",2712947,4147
300,"e",2722154,791
300,"j",2723054,6080
300,"x",2730220,4640
301,"e",2744859,700
301,"j",2746187,1736
301,"x",2748863,3290
302,"e",2753634,878
302,"j",2755144,585
302,"x",2756761,3755
303,"e",2762020,505
303,"j",2763256,909
303,"x",2765119,5085
304,"e",2771752,395
304,"j",2772935,988
304,"x",2774871,2992
305,"e",2779371,684
305,"j",2780706,660
305,"x",2782345,3225
306,"e",2787154,686
306,"j",2788510,954
306,"x",2790466,3526
307,"e",2795469,697
307,"j",2796880,847
307,"x",2798434,4865
308,"e",2804483,688
308,"j",2805796,453
308,"x",2807248,3632
309,"e",2812427,750
309,"j",2813837,2455
309,"x",2817334,4026
310,"e",2822876,519
310,"j",2824086,806
310,"x",2825858,2838
311,"e",2830212,706
311,"j",2831606,412
311,"x",2832980,3667
312,"e",2838128,800
312,"j",2839598,864
312,"x",2841477,3788
313,"e",2846837,429
313,"j",2848075,1527
313,"x",2850573,3371
314,"e",2855396,611
314,"j",2856714,882
314,"x",2858550,2979
315,"e",2862997,733
315,"j",2864050,538
315,"x",2865543,4333
316,"e",2871429,867
316,"j",2872937,821
316,"x",2874730,4771
317,"e",2880976,727
317,"j",2882385,396
317,"x",2883815,5043
318,"e",2890363,495
318,"j",2891658,897
318,"x",2893612,4678
319,"e",2899855,499
319,"j",2901098,740
319,"x",2902891,3550
320,"e",2908025,961
320,"j",2909610,776
320,"x",2911349,4797
321,"e",2917667,868
321,"j",2919167,836
321,"x",2921009,3960
322,"e",2926489,610
322,"j",2927756,1639
322,"x",2930362,4846
323,"e",2936659,749
323,"j",2938060,871
323,"x",2939883,4597
324,"e",2946088,747
324,"j",2947464,2315
324,"x",2950719,4096
325,"e",2956391,737
325,"j",2957758,725
325,"x",2959451,4296
326,"e",2965209,808
326,"j",2966668,775
326,"x",2968379,3685
327,"e",2973596,716
327,"j",2974972,724
327,"x",2976691,3613
328,"e",2981761,844
328,"j",2983239,705
328,"x",2984897,3048
329,"e",2989423,648
329,"j",2990716,1943
329,"x",2993649,3509
330,"e",2998658,673
330,"j",2999960,1962
330,"x",3002869,4214
331,"e",3008617,633
331,"j",3009997,707
331,"x",3011661,4457
332,"e",3017610,826
332,"j",3019197,749
332,"x",3020949,5036
333,"e",3027486,753
333,"j",3028863,567
333,"x",3030454,4177
334,"e",3036252,633
334,"j",3037499,563
334,"x",3039055,3537
335,"e",3044079,566
335,"j",3045305,2615
335,"x",3048864,3319
336,"e",3053699,852
336,"j",3055251,1820
336,"x",3058081,4544
337,"e",3064159,426
337,"j",3065311,758
337,"x",3067077,3458
338,"e",3072033,802
338,"j",3073495,889
338,"x",3075360,2417
339,"e",3079277,799
339,"j",3080716,498
339,"x",3082267,4826
340,"e",3088574,808
340,"j",3090102,1432
340,"x",3092519,3386
341,"e",3100648,450
341,"j",3101834,676
341,"x",3103485,4232
342,"e",3109199,568
342,"j",3110476,1806
342,"x",3113245,3709
343,"e",3118519,715
343,"j",3119903,1664
343,"x",3122544,4272
344,"e",3128359,905
344,"j",3129902,737
344,"x",3131627,4747
345,"e",3137826,964
345,"j",3139412,487
345,"x",3140869,4629
346,"e",3146954,705
346,"j",3148327,389
346,"x",3149726,3474
347,"e",3154808,1052
347,"j",3156520,1848
347,"x",3159313,5057
348,"e",3165876,842
348,"j",3167356,2559
348,"x",3170875,4326
349,"e",3176775,464
349,"j",3177962,515
349,"x",3179539,4369
350,"e",3185440,1115
350,"j",3187194,1895
350,"x",3190081,4992
351,"e",3196614,689
351,"j",3197984,501
351,"x",3199483,3434
352,"e",3204538,257
352,"j",3205560,427
352,"x",3206980,3243
353,"e",3211837,593
353,"j",3213135,637
353,"x",3214742,4612
354,"e",3220830,413
354,"j",3222116,235
354,"x",3223388,2465
355,"e",3227447,1086
355,"j",3229163,392
355,"x",3230568,4416
356,"e",3236448,937
356,"j",3238035,597
356,"x",3239576,4758
357,"e",3245854,424
357,"j",3246932,669
357,"x",3248584,4637
358,"e",3254739,362
358,"j",3255861,712
358,"x",3257522,3216
359,"e",3262238,835
359,"j",3263684,646
359,"x",3265315,4518
360,"e",3271426,478
360,"j",3272537,1524
360,"x",3275092,5011
361,"e",3281676,504
361,"j",3282802,320
361,"x",3284078,3478
362,"e",3289104,837
362,"j",3290600,2024
362,"x",3293624,4046
363,"e",3299269,930
363,"j",3300851,2305
363,"x",3304093,4489
364,"e",3310049,742
364,"j",3311424,2472
364,"x",3314900,2746
365,"e",3319153,819
365,"j",3320666,1701
365,"x",3323321,3403
366,"e",3328272,632
366,"j",3329372,655
366,"x",3330841,3540
367,"e",3335872,888
367,"j",3337467,532
367,"x",3339078,5095
368,"e",3345644,676
368,"j",3347015,1556
368,"x",3349611,3639
369,"e",3354779,984
369,"j",3356438,819
369,"x",3358409,3502
370,"e",3363394,686
370,"j",3364762,1756
370,"x",3367458,4138
371,"e",3373146,625
371,"j",3374387,742
371,"x",3376138,4581
372,"e",3382277,273
372,"j",3383300,2190
372,"x",3386478,2567
373,"e",3390571,467
373,"j",3391777,519
373,"x",3393295,3573
374,"e",3398408,661
374,"j",3399729,1533
374,"x",3402222,4234
375,"e",3407924,1002
375,"j",3409541,650
375,"x",3411230,3159
376,"e",3416052,629
376,"j",3417329,502
376,"x",3418842,4641
377,"e",3425014,653
377,"j",3426361,1610
377,"x",3428979,4474
378,"e",3434998,1212
378,"j",3436845,227
378,"x",3438074,5311
379,"e",3448345,846
379,"j",3449941,760
379,"x",3451657,3975
380,"e",3457203,709
380,"j",3458572,2020
380,"x",3461534,3536
381,"e",3466712,664
381,"j",3467993,929
381,"x",3469975,4994
382,"e",3476429,553
382,"j",3477785,759
382,"x",3479531,5008
383,"e",3486117,907
383,"j",3487675,895
383,"x",3489545,3935
384,"e",3494999,931
384,"j",3496562,785
384,"x",3498299,4151
385,"e",3504036,537
385,"j",3505230,721
385,"x",3506947,3465
386,"e",3511876,807
386,"j",3513333,1060
386,"x",3515434,3515
387,"e",3520404,680
387,"j",3521709,2046
387,"x",3524809,2762
388,"e",3529199,947
388,"j",3530801,3366
388,"x",3535107,4415
389,"e",3540983,778
389,"j",3542402,1943
389,"x",3545287,4021
390,"e",3550808,1109
390,"j",3552590,3061
390,"x",3556676,4185
391,"e",3562526,614
391,"j",3563839,730
